AHU.AHU01.MAXVAV
AHU.AHU01.MAXVLV
AHU.AHU01.Run Status
AHU.AHU01.Run Status Sum
AHU.AHU01.Zone Air Temp
AHU.AHU_SF01_2.Run Status
AHU.AHU_SF01_2.Run Status Sum
BLDG.AIR PRESSURE
BLDG.EMG1 STATUS
BLDG.FACP.ALARM
BLDG.FACP.TROUBLE
BLDG.Outside Air Humidity
BLDG.Outside Air Temp
CHW.BCHWR1
CHW.BCHWS1
CHW.BLDG.DP
CHW.Bridge Level Bypass Flow
CHW.BTONS
CHW.Building Chilled Water Flow
CHW.Building Chilled Water Return Temp
CHW.Building Chilled Water Return Temp.PSI
CHW.Building Chilled Water Supply Setpoint
CHW.Building Chilled Water Supply Temp
CHW.Building Chilled Water Supply Temp.PSI
CHW.CHW STG 1
CHW.CHW STG 2
CHW.ECONOMIZER
CHW.Enable
CHW.End of Line Diff Pressure Setpoint
CHW.Loop Chilled Water Flow
CHW.Loop Chilled Water Return Temp
CHW.Loop Chilled Water Supply Temp
CHW.OA ENABLE
CHW.Outside Air Temp
CHW.PUMP1.PRES
CHW.PUMP1.Speed
CHW.PUMP1.Start Stop
CHW.PUMP2.PRES
CHW.PUMP2.Speed
CHW.PUMP2.Start Stop
CHW.VLVCall
EF.EF01.ISO DMPR
EF.EF01.Start Stop
EF.EF01.STATUS
EF.EF02.ISO DMPR
EF.EF02.Start Stop
EF.EF02.STATUS
EF.EF03.ISO DMPR
EF.EF03.Start Stop
EF.EF03.STATUS
EF.EF04.ISO DMPR
EF.EF04.Start Stop
EF.EF04.STATUS
EF.EF05.Start Stop
EF.EF05.STATUS
EF.EF06.Start Stop
EF.EF06.STATUS
EF.EF07.DRAIN VLV
EF.EF07.HOOD SWITCH
EF.EF07.ISO VLV
EF.EF07.SOL VLV1
EF.EF07.SOL VLV1.STATUS
EF.EF07.SOL VLV2
EF.EF07.SOL VLV2.STATUS
EF.EF07.SOL VLV3
EF.EF07.SOL VLV3.STATUS
EF.EF07.Start Stop
EF.EF07.STATUS
EF.EF08.DRAIN VLV
EF.EF08.HOOD SWITCH
EF.EF08.ISO VLV
EF.EF08.SOL VLV1
EF.EF08.SOL VLV1.STATUS
EF.EF08.SOL VLV2
EF.EF08.SOL VLV2.STATUS
EF.EF08.SOL VLV3
EF.EF08.SOL VLV3.STATUS
EF.EF08.Start Stop
EF.EF08.STATUS
EF.EF09.DMPR
EF.EF09.DMPR.STATUS
EF.EF09.ROOM TEMP
EF.EF09.Start Stop
EF.EF09.STATUS
EF.EF10.DMPR
EF.EF10.DMPR.STATUS
EF.EF10.ROOM TEMP
EF.EF10.Start Stop
EF.EF10.STATUS
EF.EF11.DRAIN VLV
EF.EF11.HOOD SWITCH
EF.EF11.ISO VLV
EF.EF11.SOL VLV1
EF.EF11.SOL VLV1.STATUS
EF.EF11.SOL VLV2
