DCW.Flow
HX1.FLOWSW
HX1.Hot Water Return Temp
HX1.Hot Water Supply Temp
HX1.HWP1
HX1.HWSETPOINT
HX1.INTGRL
HX1.PROP
HX1.STEAMVLV
HX1.STEAMVLVCALC
HX1.STEAMVLVO
HX1.STEAMVLVRAMP
HX3.Call
HX3.FLOWSW
HX3.Hot Water Return Temp
HX3.Hot Water Supply Temp
HX3.HWSETPOINT
HX3.INTGRL
HX3.PROP
HX3.STEAMVLV
HX3.STEAMVLVCALC
HX3.STEAMVLVO
HX3.STEAMVLVRAMP
HX4.Call
HX4.FLOWSW
HX4.Hot Water Return Temp
HX4.Hot Water Supply Temp
HX4.HWSETPOINT
HX4.INTGRL
HX4.PROP
HX4.STEAMVLV
HX4.STEAMVLVCALC
HX4.STEAMVLVO
HX4.STEAMVLVRAMP
HX5.Call
HX5.FLOWSW
HX5.Hot Water Return Temp
HX5.Hot Water Supply Temp
HX5.HWSETPOINT
HX5.INTGRL
HX5.PROP
HX5.STEAMVLV
HX5.STEAMVLVCALC
HX5.STEAMVLVO
HX5.STEAMVLVRAMP
MECPOWERLOSSES
OATAVG
OATAVGTREND
Outside Air Temp
STEAM PRESS AVG
STEAM.Flow
STEAM.FLOW.DAILY
STEAM.FLOW.DAILYACCUM
STEAM.Flow.HOUR
STEAM.FLOW.HOURLY
STEAM.FLOW.HOURPEAK
STEAM.FLOW.MONTHLY
STEAM.Flow.PEAK
STEAM.PSI
STEAM.TEMP
