dummy index,Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
1609,506_1_3015827,506,1,3015827,EBU3B.RM-2258.ACTCLGSP,NAE 06 N2 1 VMA185 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2258,VAV,185,VAV -> Rm_2258,EBU3B,,Analog Output
1624,506_0_3001636,506,0,3001636,EBU3B.RM-2262..ACTCLGSP,NAE 06 N2 1 VMA124 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2262,VAV,124,VAV -> Rm_2262,EBU3B,,Analog Input
1640,506_0_3001656,506,0,3001656,EBU3B.RM-2266..ACTCLGSP,NAE 06 N2 1 VMA125 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2266,VAV,125,VAV -> Rm_2266,EBU3B,,Analog Input
1656,506_0_3001676,506,0,3001676,EBU3B.RM-2270..ACTCLGSP,NAE 06 N2 1 VMA126 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2270,VAV,126,VAV -> Rm_2270,EBU3B,,Analog Input
1672,506_0_3000047,506,0,3000047,EBU3B.RM-2272..ACTCLGSP,NAE 06 N2 1 VMA127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2272,VAV,127,VAV -> Rm_2272,EBU3B,,Analog Input
1696,506_0_3003179,506,0,3003179,EBU3B.RM-3102..ACTCLGSP,NAE 06 N2 2 VMA117 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3102,VAV,117,VAV -> Rm_3102,EBU3B,,Analog Input
1712,506_0_3003219,506,0,3003219,EBU3B.RM-3105..ACTCLGSP,NAE 06 N2 2 VMA119 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3105,VAV,119,VAV -> Rm_3105,EBU3B,,Analog Input
1728,506_0_3003159,506,0,3003159,EBU3B.RM-3106..ACTCLGSP,NAE 06 N2 2 VMA116 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3106,VAV,116,VAV -> Rm_3106,EBU3B,,Analog Input
1744,506_0_3003199,506,0,3003199,EBU3B.RM-3107..ACTCLGSP,NAE 06 N2 2 VMA118 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3107,VAV,118,VAV -> Rm_3107,EBU3B,,Analog Input
1760,506_0_3001759,506,0,3001759,EBU3B.RM-3109..ACTCLGSP,NAE 06 N2 2 VMA128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3109,VAV,128,VAV -> Rm_3109,EBU3B,,Analog Input
1776,506_0_3003139,506,0,3003139,EBU3B.RM-3110..ACTCLGSP,NAE 06 N2 2 VMA115 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3110,VAV,115,VAV -> Rm_3110,EBU3B,,Analog Input
1792,506_0_3003099,506,0,3003099,EBU3B.RM-3111..ACTCLGSP,NAE 06 N2 2 VMA113 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3111,VAV,113,VAV -> Rm_3111,EBU3B,,Analog Input
1808,506_0_3003119,506,0,3003119,EBU3B.RM-3114..ACTCLGSP,NAE 06 N2 2 VMA114 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3114,VAV,114,VAV -> Rm_3114,EBU3B,,Analog Input
1824,506_0_3003079,506,0,3003079,EBU3B.RM-3118..ACTCLGSP,NAE 06 N2 2 VMA112 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3118,VAV,112,VAV -> Rm_3118,EBU3B,,Analog Input
1840,506_0_3001718,506,0,3001718,EBU3B.RM-3119..ACTCLGSP,NAE 06 N2 2 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3119,VAV,102,VAV -> Rm_3119,EBU3B,,Analog Input
1857,506_0_3001739,506,0,3001739,EBU3B.RM-3121..ACTCLGSP,NAE 06 N2 2 VMA127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3121,VAV,127,VAV -> Rm_3121,EBU3B,,Analog Input
1873,506_0_3003059,506,0,3003059,EBU3B.RM-3122..ACTCLGSP,NAE 06 N2 2 VMA111 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3122,VAV,111,VAV -> Rm_3122,EBU3B,,Analog Input
1889,506_0_3003039,506,0,3003039,EBU3B.RM-3126..ACTCLGSP,NAE 06 N2 2 VMA110 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3126,VAV,110,VAV -> Rm_3126,EBU3B,,Analog Input
1905,506_0_3003281,506,0,3003281,EBU3B.RM-3127..ACTCLGSP,NAE 06 N2 2 VMA122 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3127,VAV,122,VAV -> Rm_3127,EBU3B,,Analog Input
1922,506_0_3003019,506,0,3003019,EBU3B.RM-3128..ACTCLGSP,NAE 06 N2 2 VMA109 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3128,VAV,109,VAV -> Rm_3128,EBU3B,,Analog Input
