dummy index,Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
679,505_0_3002032,505,0,3002032,EBU3B.RM-1223..ACTCLGSP,NAE 05 N2 2 VMA 124 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1223,VAV,124,VAV -> Rm_1223,EBU3B,,Analog Input
695,505_0_3001893,505,0,3001893,EBU3B.RM-1224..ACTCLGSP,NAE 05 N2 2 VMA 117 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1224,VAV,117,VAV -> Rm_1224,EBU3B,,Analog Input
711,505_0_3001833,505,0,3001833,EBU3B.RM-1229..ACTCLGSP,NAE 05 N2 2 VMA 114 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1229,VAV,114,VAV -> Rm_1229,EBU3B,,Analog Input
727,505_0_3001873,505,0,3001873,EBU3B.RM-1230..ACTCLGSP,NAE 05 N2 2 VMA 116 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1230,VAV,116,VAV -> Rm_1230,EBU3B,,Analog Input
743,505_0_3001813,505,0,3001813,EBU3B.RM-1231..ACTCLGSP,NAE 05 N2 2 VMA 113 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1231,VAV,113,VAV -> Rm_1231,EBU3B,,Analog Input
759,505_0_3001853,505,0,3001853,EBU3B.RM-1236..ACTCLGSP,NAE 05 N2 2 VMA 115 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1236,VAV,115,VAV -> Rm_1236,EBU3B,,Analog Input
783,506_0_3000427,506,0,3000427,EBU3B.RM-2102..ACTCLGSP,NAE 06 N2 1 VMA146 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2102,VAV,146,VAV -> Rm_2102,EBU3B,,Analog Input
799,506_0_3000447,506,0,3000447,EBU3B.RM-2105..ACTCLGSP,NAE 06 N2 1 VMA147 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2105,VAV,147,VAV -> Rm_2105,EBU3B,,Analog Input
815,506_0_3000407,506,0,3000407,EBU3B.RM-2107..ACTCLGSP,NAE 06 N2 1 VMA145 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2107,VAV,145,VAV -> Rm_2107,EBU3B,,Analog Input
831,506_0_3000387,506,0,3000387,EBU3B.RM-2108..ACTCLGSP,NAE 06 N2 1 VMA144 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2108,VAV,144,VAV -> Rm_2108,EBU3B,,Analog Input
847,506_0_3000630,506,0,3000630,EBU3B.RM-2109..ACTCLGSP,NAE 06 N2 1 VMA156 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2109,VAV,156,VAV -> Rm_2109,EBU3B,,Analog Input
863,506_0_3000327,506,0,3000327,EBU3B.RM-2111..ACTCLGSP,NAE 06 N2 1 VMA141 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2111,VAV,141,VAV -> Rm_2111,EBU3B,,Analog Input
879,506_0_3000367,506,0,3000367,EBU3B.RM-2112..ACTCLGSP,NAE 06 N2 1 VMA143 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2112,VAV,143,VAV -> Rm_2112,EBU3B,,Analog Input
895,506_0_3000347,506,0,3000347,EBU3B.RM-2116..ACTCLGSP,NAE 06 N2 1 VMA142 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2116,VAV,142,VAV -> Rm_2116,EBU3B,,Analog Input
911,506_0_3000307,506,0,3000307,EBU3B.RM-2118..ACTCLGSP,NAE 06 N2 1 VMA140 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2118,VAV,140,VAV -> Rm_2118,EBU3B,,Analog Input
927,506_0_3001216,506,0,3001216,EBU3B.RM-2119..ACTCLGSP,NAE 06 N2 1 VMA103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2119,VAV,103,VAV -> Rm_2119,EBU3B,,Analog Input
944,506_0_3000610,506,0,3000610,EBU3B.RM-2121..ACTCLGSP,NAE 06 N2 1 VMA155 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2121,VAV,155,VAV -> Rm_2121,EBU3B,,Analog Input
960,506_0_3000287,506,0,3000287,EBU3B.RM-2122..ACTCLGSP,NAE 06 N2 1 VMA139 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2122,VAV,139,VAV -> Rm_2122,EBU3B,,Analog Input
976,506_0_3000267,506,0,3000267,EBU3B.RM-2126..ACTCLGSP,NAE 06 N2 1 VMA138 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2126,VAV,138,VAV -> Rm_2126,EBU3B,,Analog Input
992,506_0_3009382,506,0,3009382,EBU3.RM-2127..ACLG-SP,NAE 06 N2 1 VMA151 ACLG SP,actual cooling setpoint,64,Actual Cooling Setpoint,,Rm_2127,VAV,151,VAV -> Rm_2127,EBU3B,,Analog Input
1011,506_0_3000247,506,0,3000247,EBU3B.RM-2128..ACTCLGSP,NAE 06 N2 1 VMA137 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2128,VAV,137,VAV -> Rm_2128,EBU3B,,Analog Input
1027,506_0_3000227,506,0,3000227,EBU3B.RM-2130..ACTCLGSP,NAE 06 N2 1 VMA136 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2130,VAV,136,VAV -> Rm_2130,EBU3B,,Analog Input
1043,506_0_3000207,506,0,3000207,EBU3B.RM-2132..ACTCLGSP,NAE 06 N2 1 VMA135 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2132,VAV,135,VAV -> Rm_2132,EBU3B,,Analog Input
