Label,TagSet,AssetType,Asset,AssetParent,isFedBy,City,Building,Wing,Floor,Room,Zone,AssetType2,Asset2
ATRIUM_AREA_CO2,CO2_Sensor,,,,,Dublin,B3,SOR42,GroundFloor,Atrium,,,
B10R_1F_LGHT_HILEVEL_ATRIUM,Power_Meter,Power,B10R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,Atrium,,Lighting_System,42-1F-L-HILEVEL_ATRIUM
B10R_1F_SRVC_Collab_3F034,Power_Meter,Power,B10R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,CollaborationSpace,,Plug_Load,42-1F-GS-Collab_3F034
B10S_1F_SRVC_Collab_3F034,Power_Meter,Power,B10S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,CollaborationSpace,,Plug_Load,42-1F-GS-Collab_3F034
B10S_1F_STAIRCASE_ATRIUM,Power_Meter,Power,B10S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,Atrium,,Lighting_System,42-1F-L-ATRIUM
B10T_1F_SRVC_Collab_3F034,Power_Meter,Power,B10T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,CollaborationSpace,,Plug_Load,42-1F-GS-Collab_3F034
B10T_1F_STAIRCASE_ATRIUM,Power_Meter,Power,B10T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,Atrium,,Lighting_System,42-1F-L-ATRIUM
B11R_1F_SRVC_MR_3F039,Power_Meter,Power,B11R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-1F-GS-MR_3F039
B11R_1F_SRVC_MR_3F079,Power_Meter,Power,B11R,42-GF-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-GF-GS-MR_3F079
B11R_1F_TWINBLKHD_ATRIUM,Power_Meter,Power,B11R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,Atrium,,Lighting_System,42-1F-L-ATRIUM
B11S_1F_SRVC_MR_3F039,Power_Meter,Power,B11S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-1F-GS-MR_3F039
B11S_1F_SUPPLY_TO_DALIPANEL,Power_Meter,Power,B11S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,TO,,Lighting_System,42-1F-L-DALIPANEL
B11S_GF_SRVC_MR_3F064,Power_Meter,Power,B11S,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,MeetingRoom,,Plug_Load,42-GF-GS-MR_3F064
B11T_1F_SRVC_MR_3F043,Power_Meter,Power,B11T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-1F-GS-MR_3F043
B11T_1F_STAIRCASE_A,Power_Meter,Power,B11T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,StaircaseA,,Lighting_System,42-1F-L-StaircaseA
B12R_1F_SRVC_MR_3F044,Power_Meter,Power,B12R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-1F-GS-MR_3F044
B12R_1F_STAIRCASE_D,Power_Meter,Power,B12R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,StaircaseD,,Lighting_System,42-1F-L-StaircaseD
B12R_GF_SRVC_MR_3F054,Power_Meter,Power,B12R,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,MeetingRoom,,Plug_Load,42-GF-GS-MR_3F054
B12S_1F_EMRGY_SWITCH,Power_Meter,Power,B12S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,,,Lighting,42-1F-L-EMRGY-SWITCH
B12S_1F_SRVC_MR_3F022,Power_Meter,Power,B12S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-1F-GS-MR_3F022
B13R_1F_SRVC_MR_028,Power_Meter,Power,B13R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Plug_Load,42-1F-GS-MR_028
B13S_1F_SRVC_CLEAN_42108,Power_Meter,Power,B13S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,Clean,,Plug_Load,42-1F-GS-CLEAN_42108
B13T_1F_SRVC_CLEAN_42122,Power_Meter,Power,B13T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,Clean,,Plug_Load,42-1F-GS-CLEAN_42122
B14R_1F_SRVC_CLEAN_42104,Power_Meter,Power,B14R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,Clean,,Plug_Load,42-1F-GS-CLEAN_42104
B14S_1F_SRVC_CLEAN_42138,Power_Meter,Power,B14S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,Clean,,Plug_Load,42-1F-GS-CLEAN_42138
B15R_1F_SRVC_HDRY_MENWC,Power_Meter,Power,B15R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MenWC,,Plug_Load,42-1F-GS-HDRY_MENWC
B15S_1F_SRVC_HDRY_FEMWC,Power_Meter,Power,B15S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,FemaleWC,,Plug_Load,42-1F-GS-HDRY_FEMWC
B15T_1F_SRVC_WATERHTR_MENWC,Power_Meter,Power,B15T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MenWC,,Plug_Load,42-1F-GS-WATERHTR_MENWC
B16R_1F_SRVC_WATERHTR_FEMWC,Power_Meter,Power,B16R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,FemaleWC,,Plug_Load,42-1F-GS-WATERHTR_FEMWC
B16S_1F_SRVC_SKSENS_MENWC,Power_Meter,Power,B16S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MenWC,,Plug_Load,42-1F-GS-SKSENS_MENWC
